USER_ID,SUBSCRIPTION_ID,NEW_PAID_SUBSCRIPTION_DATE,TRIAL_DURATION_DAYS,SUBSCRIPTION_TIER,SUBSCRIPTION_SOURCE,SUBSCRIPTION_PROVIDER,SUBSCRIPTION_AFFILIATE,AGE,GENDER_IDENTITY,COUNTRY,REGION_TYPE_LEVEL_1,REGION_TYPE_LEVEL_2,CLASS_FORMAT_PREFERENCE,CLASS_INTENSITY_PREFERENCE,CLASS_PER_WEEK_GOAL,DANCE_LEVEL_PREFERENCE,FITNESS_GOAL_PREFERENCE,MOTIVATING_FACTORS,MUSIC_PREFERENCE,APP_VERSION,DEVICE_OPERATING_SYSTEM,DEVICE_MANUFACTURER,DEVICE_BRAND,DEVICE_MODEL,APP_INSTALL_TO_PAID_SUBSCRIPTION_DAYS,NO_VIDEO_STARTED_30D,NO_VIDEO_WATCHED_30D,AVG_VIDEO_WATCHED_PERCENTAGE_30D,AVG_VIDEO_LENGTH_MIN_30D,PAID_SUBSCRIPTION_DURATION_DAYS,PAID_SUBSCRIPTION_CHURN_30D
4289552,99c48279-920f-4f45-92ee-bb071f910d7f,2025-11-22,7,Annual,Web,Stripe,,25-34,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Low"",
  ""Medium""
]",2,Beginner,,,"[
  ""Afro Rhythms"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Hip Hop"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa""
]",,iOS,,,,,0,0,0,0,1,1
3718818,a1fad2b3-f6bd-4feb-af42-c353e99acdae,2025-11-22,0,Monthly,App,Google,,45-54,female,Croatia,Rest of the World,Europe,,"[
  ""Medium""
]",5,Intermediate,lose weight and tone,,"[
  ""Afrobeats"",
  ""Bachata"",
  ""Belly Dance"",
  ""Bollywood"",
  ""Cumbia"",
  ""Disco"",
  ""Funk"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Rock"",
  ""Salsa""
]",3.14.0,Android,Samsung,Samsung,Sm-S931b,0,0,0,0,0,1,1
3497934,2a15ec91-6c06-469b-8bca-372fde586138,2025-11-23,7,Annual,Web,Stripe,,35-44,female,Germany,Rest of the World,Europe,,"[
  ""Low""
]",3,Beginner,Start my fitness journey,,"[
  ""Bachata"",
  ""Bhangra"",
  ""Bollywood"",
  ""Cumbia"",
  ""Disco"",
  ""Merengue"",
  ""Reggaeton"",
  ""Salsa""
]",2.6.0,Android,Samsung,Samsung,Sm-S908b,340,0,0,0,0,0,1
4144248,2ceec5c8-c45c-488e-b528-d13fd164ff41,2025-11-23,0,Monthly,App,Apple,,35-44,female,Thailand,Rest of the World,APAC (excl. India),,"[
  ""High""
]",5,Advanced,lose weight and tone,,"[
  ""Afro Rhythms"",
  ""Hip Hop"",
  ""House"",
  ""Pop"",
  ""Reggaeton"",
  ""Techno""
]",2,iOS,Apple,Apple,"Iphone14,7",92,10,1,0.156,37.337878788,0,1
4275469,bf85fff3-5fe0-42aa-960c-c880d2e0f51b,2025-11-23,7,Annual,Web,Stripe,Rejoin,45-54,female,Finland,Rest of the World,Europe,,"[
  ""Medium""
]",4,Intermediate,reduce stress,,"[
  ""Bachata"",
  ""Brazilian Rhythms"",
  ""Caribbean Rhythms"",
  ""Cumbia"",
  ""Merengue"",
  ""Reggaeton"",
  ""Salsa""
]",6,iOS,Apple,Apple,"Iphone14,5",7,0,0,0,0,0,1
4290972,f28c88ad-3bd1-4548-a28e-2ad03cd35269,2025-11-22,7,Annual,Web,Stripe,,65+,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""Medium""
]",3,Beginner,lose weight and tone,,"[
  ""Cumbia"",
  ""Disco"",
  ""Pop"",
  ""Salsa""
]",,iOS,,,,,0,0,0,0,1,1
4291689,859f42ee-9a04-4de5-9af2-ef6deb9e7afc,2025-11-23,7,Annual,Web,Stripe,,45-54,female,United Kingdom,"Canada, Great Britain & United States",Europe,,"[
  ""Medium""
]",3,Intermediate,lose weight and tone,,"[
  ""Disco"",
  ""House"",
  ""Pop"",
  ""Salsa""
]",6,iOS,Apple,Apple,"Iphone14,7",7,0,0,0,0,0,1
4150404,0854f4fd-3c03-4ef5-95dd-9196ced1fa54,2025-11-23,7,Annual,App,Google,,,,Austria,Rest of the World,Europe,,,,Advanced,,,"[
  ""Afro Rhythms"",
  ""Hip Hop"",
  ""House"",
  ""Pop""
]",3.13.1,Android,Google,Google,Pixel 7a,89,0,0,0,0,0,1
4283628,603b3166-6823-46cd-b6c7-424dd0ec00c7,2025-11-23,7,Annual,App,Google,,45-54,female,Spain,Rest of the World,Europe,,"[
  ""High""
]",4,Advanced,Have some fun,,"[
  ""Bachata"",
  ""Caribbean Rhythms"",
  ""Cumbia"",
  ""Disco"",
  ""Merengue"",
  ""Pop"",
  ""Reggaeton"",
  ""Salsa""
]",3.14.0,Android,Samsung,Samsung,Sm-G781b,12,0,0,0,0,0,1
3547092,10ad1a7c-a9c9-4c0b-bce7-876ae2cc0274,2025-11-23,0,Annual,Web,Stripe,,35-44,female,United States of America,"Canada, Great Britain & United States",North America,,"[
  ""High""
]",3,Beginner,lose weight and tone,,"[
  ""Afrobeats"",
  ""Funk"",
  ""Hip Hop"",
  ""Reggaeton""
]",6,iOS,Apple,Apple,"Iphone17,2",162,0,0,0,0,0,1
